 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Fev/2020-Mar/2021
"Unidade da Federação";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";246;257;269;295;357;446;476;408;293;266;360;435;333;559;5000
"12 Acre";152;180;138;158;191;192;163;136;173;119;147;143;188;205;2285
"13 Amazonas";595;507;629;1484;1465;916;657;673;609;715;607;1330;1616;1796;13599
"14 Roraima";106;107;98;177;328;177;85;107;114;135;127;190;322;287;2360
"15 Pará";974;945;886;1354;2218;1524;1762;1196;1019;1075;1068;1163;1230;1277;17691
"16 Amapá";70;59;84;187;179;216;149;80;76;63;146;110;136;205;1760
"17 Tocantins";252;290;231;248;283;363;333;341;299;9;14;15;4;52;2734
"21 Maranhão";909;970;900;1826;1932;1491;1138;1051;1110;1063;858;1057;1148;1800;17253
"22 Piauí";503;469;434;477;566;839;918;654;713;559;578;675;665;697;8747
"23 Ceará";1572;1621;1603;2449;2678;2217;2273;1844;2001;1784;1658;1737;1765;2323;27525
"24 Rio Grande do Norte";559;556;569;590;710;862;803;669;648;678;640;714;719;639;9356
"25 Paraíba";719;693;679;809;831;1287;1060;899;1030;796;783;983;1003;1120;12692
"26 Pernambuco";1914;2111;1879;2860;2818;2804;2572;2355;1839;2528;2247;2818;2466;2794;34005
"27 Alagoas";499;586;550;559;563;690;725;581;645;611;574;674;693;851;8801
"28 Sergipe";391;401;365;408;381;494;575;593;549;537;461;433;562;489;6639
"29 Bahia";2494;2703;2624;2773;3110;3420;3229;2877;2858;2745;2939;2906;2975;3344;40997
"31 Minas Gerais";4569;4593;4346;4527;4744;5517;5964;5907;6113;5460;5340;6083;5811;7331;76305
"32 Espírito Santo";737;761;840;1065;1138;1275;1121;1048;966;1021;1043;1285;1076;1367;14743
"33 Rio de Janeiro";3675;3858;3848;5655;5647;5982;5229;5153;4623;5137;5370;5614;4852;6081;70724
"35 São Paulo";10091;10595;10479;12136;13347;14902;13495;12911;12823;11517;11704;13471;13087;16850;177408
"41 Paraná";3074;2842;2515;2760;2765;3146;3802;3401;3432;3408;3371;3738;4002;5054;47310
"42 Santa Catarina";1757;1687;1633;1498;1673;1923;2170;2058;1929;1864;2041;2217;2278;3086;27814
"43 Rio Grande do Sul";3025;3114;2817;3121;3212;3864;3901;3760;4102;3667;3730;4255;3889;5966;52423
"50 Mato Grosso do Sul";574;593;633;562;561;650;717;807;773;704;656;777;731;865;9603
"51 Mato Grosso";595;533;438;463;565;809;870;809;810;716;519;672;655;882;9336
"52 Goiás";978;1030;983;1018;1170;1465;1756;1507;1608;1332;1257;1395;1256;1758;18513
"53 Distrito Federal";550;663;627;532;742;872;978;682;681;627;611;706;644;1066;9981
"Total";41580;42724;41097;49991;54174;58343;56921;52507;51836;49136;48849;55596;54106;68744;725604
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
