 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Fev/2020-Mar/2021
"Unidade da Federação";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";9300;9552;7674;7530;6849;8353;8473;8907;8165;9058;8130;8065;6463;6431;112950
"12 Acre";4086;3743;2943;3104;3171;3479;3774;3454;4225;3612;3698;3915;3483;3969;50656
"13 Amazonas";15479;16265;13093;14317;14972;15054;14244;15290;15429;15085;13885;14517;17265;15855;210750
"14 Roraima";3775;3576;3132;2916;2846;2899;3263;3063;3481;3435;3496;3157;3304;3278;45621
"15 Pará";40926;39504;30762;29909;32102;33340;38719;36072;37057;38147;36941;36537;34126;27721;491863
"16 Amapá";3213;2420;2017;2118;2350;3010;3072;2945;2367;2398;2944;2872;3313;3360;38399
"17 Tocantins";6861;6890;6247;6330;6061;6734;6305;6108;6191;454;447;370;404;845;60247
"21 Maranhão";36391;35227;28281;29417;28759;30917;31644;31757;33843;32776;30604;31135;29455;28672;438878
"22 Piauí";17500;15867;12305;12989;13545;14350;14988;14597;15954;15211;15470;17552;14690;14300;209318
"23 Ceará";40592;40790;34756;33947;36251;37747;36083;36024;38442;38257;35767;36707;36166;35007;516536
"24 Rio Grande do Norte";14853;14584;12468;11958;12712;13575;13752;13736;14742;14084;12900;14414;12493;11183;187454
"25 Paraíba";14020;13882;11525;11266;12276;13304;13633;13269;13658;13416;12364;12870;13691;13077;182251
"26 Pernambuco";43808;44264;32493;33544;35964;41522;41433;40728;41202;42663;40396;41273;38891;40882;559063
"27 Alagoas";12991;13395;11327;9794;8974;10855;12098;11795;13039;13527;13206;12257;13475;12803;169536
"28 Sergipe";7962;7965;6639;6387;5981;6638;7082;6822;7676;7833;6941;7475;8069;7708;101178
"29 Bahia";64972;65715;54100;51701;51139;54247;54967;56366;61241;60955;59114;55463;54972;58199;803151
"31 Minas Gerais";100741;96006;82408;84302;82822;89609;90306;92662;95140;94602;91661;90748;90551;93083;1274641
"32 Espírito Santo";20213;20550;18792;18685;16484;17393;16882;17759;18806;19089;19233;19687;18851;20065;262489
"33 Rio de Janeiro";55735;54244;46540;51363;51922;56539;56125;56059;56738;55323;56003;56574;51919;58362;763446
"35 São Paulo";199907;202819;152829;157924;166893;181563;179353;185941;190986;190114;183014;190050;184880;185488;2551761
"41 Paraná";73852;67487;55136;59843;51876;55264;58442;59155;63596;62995;56858;58777;63223;59861;846365
"42 Santa Catarina";41665;39419;31493;31181;32801;32084;32390;34272;35430;36663;35266;36345;35925;35620;490554
"43 Rio Grande do Sul";61605;63508;50991;50177;50998;53202;52509;52539;59214;57284;55811;56731;54143;54463;773175
"50 Mato Grosso do Sul";15080;15059;13199;12779;12150;12377;12149;11795;11682;12353;11297;12114;12987;12597;177618
"51 Mato Grosso";15545;15000;12819;13320;12219;12943;14011;13774;15014;13667;13776;14266;13371;12039;191764
"52 Goiás";26997;27242;22536;23196;22667;24211;26023;25280;26490;25141;25299;25570;22514;21516;344682
"53 Distrito Federal";19218;21460;18769;16481;16610;16360;16438;15747;17162;16379;17706;19145;17669;20365;249509
"Total";967287;956433;775274;786478;791394;847569;858158;865916;906970;894521;862227;878586;856293;856749;12103855
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
