 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Fev/2020-Mar/2021
"Unidade da Federação";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";7493901,30;8148169,46;7353768,37;7739864,47;9246097,96;11824687,13;11733307,76;10201985,14;7955139,45;9357946,29;8880836,55;9266014,59;7730597,04;11023309,47;127955624,98
"12 Acre";3417691,07;3076003,20;2286642,60;2896340,24;3045245,80;3915193,20;3640142,82;3391242,21;4044321,44;3276590,10;3696997,31;3715723,12;3538427,92;4077045,92;48017606,95
"13 Amazonas";14939977,20;15107056,74;13534657,88;19698748,89;21129394,43;19769460,14;18059931,43;17841015,63;16408315,10;19895617,91;17765167,69;21430289,17;25917134,55;22032176,22;263528942,98
"14 Roraima";2912519,98;2937346,43;2868820,96;2752228,26;3401864,29;3015488,30;2826486,18;2928043,91;3090313,73;3621031,05;3454460,94;3266928,47;3519773,73;3985530,08;44580836,31
"15 Pará";37417579,86;35610330,34;28292446,48;32998806,72;42192745,99;40804126,43;44385715,88;36820249,47;36965931,34;39004315,80;38015145,79;38354682,46;37688314,23;33276392,89;521826783,68
"16 Amapá";2310195,65;1842472,54;1705873,64;2065055,35;2009912,57;3253399,45;2946398,44;2416019,23;2203732,04;2218532,26;2566919,60;2802886,34;2817849,31;3188210,98;34347457,40
"17 Tocantins";7024599,22;7210345,19;6391193,66;6707977,77;7424637,88;9155572,36;8390267,72;8729632,49;7770885,66;527840,46;675277,05;419553,49;319160,87;1357751,33;72104695,15
"21 Maranhão";30018188,06;29309892,09;25256589,20;31356916,21;34868483,11;35473489,49;32219037,29;30077152,72;33200778,47;31942670,33;30783403,58;30738750,31;30924484,99;39663677,48;445833513,33
"22 Piauí";16851334,11;14568254,23;12224393,97;13182211,00;15282065,70;19908573,27;25663537,49;20230782,72;22389215,72;18911604,50;20883972,79;22689390,32;19400269,01;20018325,75;262203930,58
"23 Ceará";50725074,22;47009985,82;45048541,70;46430634,71;54991440,03;56019506,33;61719491,69;56625919,77;59074596,33;56916499,66;50849353,22;52078218,88;53171253,41;62079618,54;752740134,31
